"uniqueID","manmade_mean","manmade_sd","precious_mean","precious_sd","lives_mean","lives_sd","heavy_mean","heavy_sd","natural_mean","natural_sd","moves_mean","moves_sd","grasp_mean","grasp_sd","hold_mean","hold_sd","be.moved_mean","be.moved_sd","pleasant_mean","pleasant_sd","arousing_mean","arousing_sd","n"
"magnifier","6.4872","1.1669","3.4872","1.8191","1.2308","0.4268","3.4103","1.4275","2.1026","1.3138","2.5385","1.7895","5.6667","1.0345","5.8718","0.9782","5.8205","0.8545","4.6154","0.8465","3.6923","0.8321",37
"magnifying_glass","6.6944","1.0642","3.5833","1.7300","1.1667","0.5606","1.7500","1.1052","1.5833","0.9673","1.5278","0.8102","6.5000","0.8783","6.6667","0.5855","6.5833","0.9373","4.8333","1.1084","3.7500","0.9373",37
"mail","6.8611","0.3507","4.1944","1.6357","1.1667","0.5606","2.0833","1.2277","1.9444","1.2861","2.4722","2.1042","6.3889","1.0496","6.5278","0.7362","6.5278","0.7362","4.5278","0.9098","4.1389","0.8333",37
"mailbox","6.8611","0.5426","2.9167","1.6279","1.1111","0.3187","4.0000","1.3732","1.3889","0.6878","1.2500","0.5000","4.6944","1.5084","3.9444","1.4131","3.0278","1.4038","4.1944","0.9202","3.8889","0.6667",37
"makeup","6.8000","0.4728","3.4857","2.0055","1.2857","0.8599","2.0286","1.4243","2.4571","1.2682","1.7143","1.3189","5.8000","1.5492","6.0857","1.2455","6.3143","0.9322","5.0571","1.4541","3.6571","1.4130",37
"mallet","6.6923","0.8931","2.3590","1.3858","1.2308","0.4268","4.7949","1.5420","2.4615","1.3543","2.5897","1.4275","6.2564","0.7511","6.0256","1.0384","6.0000","1.0513","3.7436","0.5486","4.3846","0.5436",37
"man","3.2162","2.3349","5.8919","1.3901","6.6757","1.0289","5.9189","0.9243","6.6757","0.6260","6.6486","0.5877","4.7568","1.2997","3.9730","1.6748","3.9730","1.6070","5.0000","1.3744","4.2703","1.2834",37
"manatee","1.1026","0.3074","5.7179","1.3562","6.8462","0.5399","6.5641","0.9118","6.6667","0.8686","6.7949","0.4690","2.1282","1.2810","1.8718","1.1738","2.0513","1.4133","5.2564","1.3902","3.5128","1.4303",37
"mandolin","6.4211","1.1060","5.2105","1.2116","1.5263","1.1563","3.1579","1.5162","3.4211","1.8400","2.8421","1.9386","5.7632","1.1255","5.9474","0.9850","6.2632","0.7600","5.7632","1.0764","3.1579","1.3462",37
"mango","1.0571","0.2355","4.6000","1.9734","4.7143","2.2172","1.8571","1.3750","6.8000","0.4728","2.1429","1.6653","6.4571","0.9185","6.6857","0.8321","6.6000","0.8117","6.2000","0.9331","3.3143","1.4707",37
"manhole","6.6944","1.1166","2.5278","1.5210","1.1111","0.3187","6.1111","1.0079","1.6944","1.1909","2.2222","1.5140","2.9167","1.4015","2.5833","1.2277","2.4167","1.1307","3.1389","1.0731","4.2222","0.8980",37
"mannequin","6.8500","0.3616","3.0250","1.6249","1.3250","0.8286","4.5000","1.2810","2.0000","1.4500","2.7250","1.6639","4.6750","1.3660","4.4500","1.3765","4.4750","1.4848","4.3000","0.8829","3.9250","0.5256",37
"mantle","6.6176","0.7791","3.6176","1.5573","1.2059","0.4786","5.9118","1.1901","3.0294","1.7318","1.2647","0.7904","4.5588","1.5991","2.5882","1.6536","1.8235","1.1670","5.0882","1.1643","3.1471","0.9888",37
"map","6.5897","1.0187","4.7179","1.6375","1.4615","0.7896","2.0769","1.2852","2.5641","1.4831","2.2821","1.5551","6.0000","1.0000","5.8718","1.1960","5.9744","0.8732","5.3846","0.9898","3.4615","1.1435",32
"maple_syrup","4.7778","2.2439","4.5833","1.5000","2.0556","1.3081","2.6389","1.5147","5.2778","1.7826","2.8333","1.9640","4.4722","2.1178","4.8056","1.8946","5.6111","1.2712","5.8333","1.1339","3.7222","1.3008",36
"marble","6.5405","1.1449","3.7568","1.8768","1.1622","0.6877","1.6216","1.2099","2.2703","1.3672","4.7838","1.6522","6.5676","0.7280","6.7297","0.5082","6.7297","0.5602","5.1081","1.0484","3.6216","1.0369",36
"margarita","6.5556","1.0809","3.9167","1.7948","1.6389","1.2225","1.6389","0.9305","3.5556","1.8430","2.0000","1.2649","5.8611","1.3555","6.2222","1.1241","6.5000","0.7746","5.9444","1.0405","3.3333","1.7071",36
"marijuana","1.8286","1.4035","4.6571","1.5328","6.2286","1.1137","1.9143","1.0675","6.7429","0.4434","2.7429","1.6688","6.0857","0.8179","6.2286","0.8075","5.2000","1.5867","5.1143","1.4095","2.5429","1.2682",36
"marker","6.6944","0.5767","2.9167","1.5924","1.3056","0.6684","1.3333","0.5345","1.4167","0.6492","1.9167","1.2956","6.4167","1.2956","6.8056","0.4014","6.7500","0.4392","5.1111","1.0896","3.2778","0.9743",36
"marmalade","6.3947","0.9737","3.2895","1.7384","1.7105","1.0110","2.0263","1.2189","4.8684","1.5798","2.4211","1.4451","4.5000","1.5726","5.1053","1.2475","5.7368","0.9777","5.8947","1.2256","3.5263","1.2022",36
"marshmallow","6.4444","0.8765","3.5000","1.8127","1.5833","1.0790","1.3333","0.9258","2.6389","1.6063","1.8889","1.2370","6.3333","1.0690","6.6667","0.5345","6.6944","0.5248","5.9167","0.7700","3.2500","1.2507",36
"mascara","6.7692","0.4846","3.3846","1.8865","1.2821","0.7236","1.3846","0.7819","1.9487","1.3945","1.9744","1.6462","6.2564","1.0187","6.4359","1.0462","6.2564","1.2078","5.1795","1.1441","4.2564","1.0935",36
"mashed_potato","6.0541","1.2006","3.5135","1.6094","1.7838","0.7504","2.2973","1.3917","4.9189","1.4410","1.7838","1.1089","4.8108","1.6640","5.0811","1.6563","5.8649","1.1823","5.5676","1.4248","3.5676","1.0939",36
"mask","6.6667","0.5855","2.8611","1.3970","1.4444","0.9984","1.9722","0.9996","1.6944","1.0370","1.9167","1.1307","6.2778","0.8819","6.5556","0.6522","6.4444","0.7346","4.1667","1.2984","4.9444","0.9545",36
"mast","6.7297","0.5082","4.0000","1.6330","1.1351","0.3466","6.4865","0.7311","2.0000","1.1304","3.4595","1.9944","3.5135","1.9808","2.0541","1.4897","2.1622","1.3232","4.3514","0.8887","4.0541","0.7433",36
"mat","6.6486","0.5383","2.5946","1.5892","1.1622","0.4418","2.3514","1.4379","3.0000","1.7795","1.8919","1.3496","5.9730","1.3014","6.0811","1.2333","6.2703","1.0179","4.4324","0.9586","3.5946","0.8320",40
"match","6.6053","0.9165","3.7368","1.7658","1.5263","1.0329","1.5263","1.3899","2.2368","1.5145","2.0789","1.4956","6.3684","0.9704","6.5789","0.6423","6.6579","0.5340","4.4211","0.7929","4.2368","0.8522",40
"matchbox","6.8108","0.5695","3.1622","1.9510","1.3784","1.1868","1.1892","0.4618","1.9189","1.4216","2.0270","1.7076","6.7027","0.5199","6.8649","0.4191","6.8649","0.3466","4.5946","1.0919","4.1622","1.2805",40
"mattress","6.7568","0.6414","3.6486","1.7032","1.1892","0.7007","5.5405","1.1924","1.8919","1.0484","1.6486","0.9492","3.6486","1.5132","2.7838","1.5480","2.8919","1.3496","5.9730","0.7988","2.3784","1.2550",35
"measuring_cup","6.8684","0.3426","3.3421","1.8347","1.1053","0.3883","2.4474","1.2881","1.6316","0.9130","2.1842","1.9432","6.3421","1.0724","6.5000","0.7970","6.5526","0.8913","4.5789","0.9762","3.8158","0.6087",35
"meat","1.5714","0.8501","4.2857","1.7076","3.1714","2.0071","3.8286","1.4448","5.8857","1.2312","2.6857","1.5295","5.8000","0.9641","5.7714","1.0314","5.8000","0.9010","4.8000","1.5492","3.7714","1.2387",35
"meat_grinder","6.7838","1.0037","3.2162","1.5835","1.2432","0.8630","5.0541","1.3322","1.6757","1.1798","4.3514","1.9751","5.2162","1.1089","4.5946","1.6743","4.5676","1.4821","3.5676","1.3853","4.3784","1.1868",35
"meatball","6.5000","0.8165","3.9500","1.8804","2.0000","1.5021","1.8250","1.2586","3.5500","2.1116","1.9750","1.4934","6.4250","0.7472","6.5000","0.6794","6.5750","0.7121","5.7000","0.9923","3.7000","1.2237",39
"meatloaf","6.4211","1.0035","2.7368","1.7035","1.5789","1.2440","2.1579","1.1514","3.2895","1.9300","1.3947","0.7548","5.6842","1.2967","6.0526","1.1613","6.2368","0.8522","5.1842","1.4114","3.7895","1.1427",39
"medal","6.8205","0.4514","5.9231","0.9565","1.3333","0.8377","3.9487","1.5035","2.1538","1.5651","2.0769","1.4936","6.2564","1.1406","6.4615","0.7199","6.5385","0.6823","6.0769","0.9286","3.8205","1.7148",39
"meerkat","1.3333","1.0345","5.2308","1.4593","6.6923","1.0299","2.7436","1.5341","6.6154","0.9898","6.7436","0.4983","3.2051","1.4900","3.2564","1.6176","4.2564","1.5848","5.3846","1.2899","3.6410","1.3667",39
"megaphone","6.7949","0.6147","2.7179","1.3562","1.1795","0.3888","2.8462","1.5651","1.4103","0.7511","1.8462","1.3676","6.0256","1.2245","6.1795","1.0729","6.0769","1.1559","3.3333","1.3443","5.6154","1.0910",39
"melon","1.5263","1.2678","4.5526","1.8409","4.9211","1.8655","3.3421","1.8050","6.5789","1.0560","2.3684","1.6010","5.7632","1.3035","6.0263","1.0777","6.2368","0.9982","5.9211","1.0751","3.1316","1.2340",39
"memory_stick","6.6842","0.9036","4.1316","2.0556","1.3158","0.5253","1.3158","0.7016","1.3947","0.5945","1.5526","0.8605","6.3684","0.9979","6.6842","0.5253","6.6842","0.5253","4.5789","0.9762","3.9211","0.7121",39
"metal_detector","6.8611","0.4245","3.6944","1.9097","1.5278","1.2302","3.5556","1.6291","1.5833","0.9964","2.9722","1.9783","6.1667","0.8452","6.0556","0.9241","6.1389","0.7617","4.7222","1.0586","4.1667","1.4243",39
"metronome","6.5946","1.1170","4.3514","1.7194","1.8919","1.6961","3.2703","1.6270","2.5946","1.6238","4.9459","1.8096","5.7568","0.9833","5.7568","0.8946","5.8378","0.9864","5.0270","0.9570","3.3784","1.3198",39
"microphone","6.7895","0.8433","3.1053","1.5903","1.3684","0.8517","2.5526","1.2670","1.6316","1.1252","2.0000","1.5596","6.6053","0.6794","6.7368","0.4463","6.6053","0.6384","4.6316","0.9704","4.1316","0.9911",39
"microscope","6.6757","1.0815","5.2973","1.5963","1.3243","0.8836","4.5946","1.5716","1.5405","0.8365","2.8378","1.9367","5.3243","1.1560","5.1351","1.3977","5.3784","1.3406","4.7027","1.0237","3.8378","0.8338",38
"microwave","6.4865","1.2828","2.8919","1.8071","1.3243","1.1798","5.4324","1.1676","1.2973","0.7403","2.2703","1.5750","3.5946","1.8327","3.4595","1.6261","4.0811","1.6394","4.2432","0.8946","3.9459","0.7433",38
