Word	Definition (from WordNet, Google, or Wikipedia)	animal	bird	body part	clothing	clothing accessory	container	dessert	drink	electronic device	food	fruit	furniture	home decor	insect	kitchen appliance	kitchen tool	medical equipment	musical instrument	office supply	part of car	plant	sports equipment	tool	toy	vegetable	vehicle	weapon	candy	hardware	mammal	sea animal	fastener	jewelry	watercraft	condiment	garden tool	lighting	personal hygiene item	scientific equipment	arts and crafts supply	home appliance	seafood	breakfast food	footwear	safety equipment	school supply	headwear	protective clothing	construction equipment	game	farm animal	outerwear	women's clothing
coffee table	low table where magazines can be placed and coffee or cocktails are served												1																																									
coffeemaker	a kitchen appliance for brewing coffee automatically									1						1																										1												
coffin	box in which a corpse is buried or cremated						1																																															
coil	tubing that is wound in a spiral																													1																								
coin	a flat metal piece (usually a disc) used as money																																																					
coleslaw	basically shredded cabbage										1																																											
collar	a band of leather or rope that is placed around an animal's neck as a harness or to identify it																																																					
column	(architecture) a tall vertical cylindrical structure standing upright and used to support a structure																																																					
comb	"a flat device with narrow pointed teeth on one edge; disentangles or arranges hair"																																						1															
combination lock	lock that can be opened only by turning dials in a special sequence																													1			1																					
comic book	a magazine devoted to comic strips																																																					
compass	navigational instrument for finding directions																																																					
compost	"a mixture of decaying vegetation and manure; used as a fertilizer"																																																					
computer	a machine for performing calculations automatically									1																																									1			
computer screen	a screen used to display the output of a computer to the user									1																																												
confetti	small pieces or streamers of colored paper that are thrown around on festive occasions (as at a wedding)																																																					
contact lens	a thin curved glass or plastic lens designed to fit over the cornea in order to correct vision or to deliver medication																																																					
container	any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another)						1																																															
cooker	a utensil for cooking						1			1						1																										1												
cookie	any of various small flat sweet cakes (`biscuit' is the British term)							1			1																																											
cookie cutter	a kitchen utensil used to cut a sheet of cookie dough into desired shapes before baking																																																					
cookie sheet	a cooking utensil consisting of a flat rectangular metal sheet used for baking cookies or biscuits																																																					
cooler	a refrigerator for cooling liquids																																									1												
coop	a farm building for housing poultry						1																																															
copier	apparatus that makes copies of typed, written or drawn material									1																																												
coral	"marine colonial polyp characterized by a calcareous skeleton; masses in a variety of shapes often forming reefs"	1																														1																						
cord	a light insulated conductor for household use																													1																								
cordon bleu	a dish consisting of an escalope of veal or chicken rolled, filled with cheese and ham, and then fried in breadcrumbs										1																																											
cork	the plug in the mouth of a bottle (especially a wine bottle)																																																					
corkboard	a heat-insulating building material consisting of cork granules that are made into sheets by compressing and baking																																																					
corkscrew	a bottle opener that pulls corks																1							1						1																								
corn	"tall annual cereal grass bearing kernels on large ears: widely cultivated in America in many varieties; the principal cereal in Mexico and Central and South America since pre-Columbian times"										1											1				1																												
cornbread	bread made primarily of cornmeal										1																																											
cornhusk	the husk of an ear of corn																																																					
cornmeal	coarsely ground corn										1																																											
cornucopia	a goat's horn filled with grain and flowers and fruit symbolizing prosperity													1																																								
corsage	a spray of flowers worn pinned to a woman's clothes					1																																																
corset	a woman's close-fitting foundation garment				1																																																	1
costume	unusual or period attire not characteristic of or appropriate to the time and place				1																																																	
cot	a small bed that folds up for storage or transport												1																																									
cotton candy	a candy made by spinning sugar that has been boiled to a high temperature										1																		1																									
couch	an upholstered seat for more than one person												1																																									
cougar	large American feline resembling a lion	1																													1																							
counter	table consisting of a horizontal surface over which business is transacted												1																																									
coverall	a loose-fitting protective garment that is worn over other clothing				1																																									1			1				1	
cow	"female of domestic cattle: ""`moo-cow' is a child's term"""	1																													1																					1		
coyote	small wolf native to western North America	1																													1																							
crab	decapod having eyes on short stalks and a broad flattened carapace with a small abdomen folded under the thorax and pincers	1									1																					1											1											
cracker	"a thin crisp wafer made of flour and water with or without leavening and shortening; unsweetened or semisweet"										1																																											
cranberry	very tart red berry used for sauce or juice										1	1																																										
crane	"lifts and moves heavy objects; lifting tackle is suspended from a pivoted boom that rotates around a vertical axis"																																																	1				
crank	a hand tool consisting of a rotating shaft with parallel handle																							1						1																								
crate	"a rugged box (usually made of wood); used for shipping"						1																																															
crayfish	small freshwater decapod crustacean that resembles a lobster	1									1																																1											
crayon	writing implement consisting of a colored stick of composition wax used for writing and drawing																								1																1						1							
cream	toiletry consisting of any of various substances in the form of a thick liquid that have a soothing and moisturizing effect when applied to the skin																																																					
cream cheese	soft unripened cheese made of sweet milk and cream										1																									1								1										
credit card	a card (usually plastic) that assures a seller that the person using it has a satisfactory credit rating and that the issuer will see to it that the seller receives payment for the merchandise delivered																																																					
creme brulee	custard sprinkled with sugar and broiled							1			1																																											
crepe	small very thin pancake							1			1																																	1										
crib	baby bed with high sides made of slats												1																																									
croissant	very rich flaky crescent-shaped roll										1																																	1										
cross	a wooden structure consisting of an upright post with a transverse piece																																																					
crossbow	a bow fixed transversely on a wooden stock grooved to direct the arrow (quarrel)																											1																										
crouton	"a small piece of toasted or fried bread; served in soup or salads"										1																																											
crow	black birds having a raucous call	1	1																																																			
crowbar	a heavy iron lever with one end forged into a wedge																							1				1		1																								
crown	an ornamental jeweled headdress signifying sovereignty				1																													1														1						
crucifix	representation of the cross on which Jesus died																																																					
cruise ship	a passenger ship used commercially for pleasure cruises																										1								1																			
crumb	small piece of e.g. bread or cake										1																																											
crutch	"a wooden or metal staff that fits under the armpit and reaches to the ground; used by disabled person while walking"																	1																																				
crystal ball	a glass or crystal globe used in crystal gazing by fortunetellers													1																																								
crystal1	a solid formed by the solidification of a chemical and having a highly regular atomic structure																																																					
crystal2	"a rock formed by the solidification of a substance; has regularly repeating internal structure; external plane faces"																																																					
cuckoo clock	clock that announces the hours with a sound like the call of the cuckoo													1																																								
cucumber	"cylindrical green fruit with thin green rind and white flesh eaten as a vegetable; related to melons"										1															1																												
cufflink	jewelry consisting of one of a pair of linked buttons used to fasten the cuffs of a shirt					1																											1	1																				
cummerbund	a broad pleated sash worn as formal dress with a tuxedo				1	1																																																
cup	"a small open container usually used for drinking; usually has a handle"						1																																															
cupcake	small cake baked in a muffin tin							1			1																																											
curb	an edge between a sidewalk and a roadway consisting of a line of curbstones (usually forming part of a gutter)																																																					
curling iron	a cylindrical metal home appliance that heats a lock of hair that has been curled around it									1														1															1			1												
curry	(East Indian cookery) a pungent dish of vegetables or meats flavored with curry powder and usually eaten with rice										1																																											
curtain	hanging cloth used as a blind (especially for a window)													1																																								
cushion	a soft bag filled with air or a mass of padding such as feathers or foam rubber etc.																																																					
cutting board	a wooden board where meats or vegetables can be cut																																																					
cymbal	"a percussion instrument consisting of a concave brass disk; makes a loud crashing sound when hit with a drumstick or when two are struck together"																		1																																			
dagger	a short knife with a pointed blade used for piercing or stabbing																											1																										
daisy	any of numerous composite plants having flower heads with well-developed ray flowers usually arranged in a single whorl																					1																																
dalmatian	"a large breed having a smooth white coat with black or brown spots; originated in Dalmatia"	1																													1																							
dandelion	any of several herbs of the genus Taraxacum having long tap roots and deeply notched leaves and bright yellow flowers followed by fluffy seed balls																					1																																
dart	a small narrow pointed missile that is thrown or shot																						1					1																										
dartboard	a circular board of wood or cork used as the target in the game of darts																						1																															
dashboard	instrument panel on an automobile or airplane containing dials and controls																				1																																	
deer	distinguished from Bovidae by the male's having solid deciduous antlers	1																													1																							
defibrillator	an electronic device that administers an electric shock of preset voltage to the heart through the chest wall in an attempt to restore the normal rhythm of the heart during ventricular fibrillation									1								1																																				
denture	a dental appliance that artificially replaces missing teeth																																																					
deodorant	a toiletry applied to the skin in order to mask unpleasant odors																																						1															
desk	a piece of furniture with a writing surface and usually drawers or other compartments												1																																									
dessert	a dish served as the last course of a meal							1			1																																											
detonator	"a mechanical or electrical explosive device or a small amount of explosive; can be used to initiate the reaction of a disrupting explosive"																																																					
dial	a disc on a telephone that is rotated a fixed distance for each number called																																																					
diamond	a transparent piece of diamond that has been cut and polished and is valued as a precious gem																																																					
diaper	"garment consisting of a folded cloth drawn up between the legs and fastened at the waist; worn by infants to catch excrement"				1																																		1															
dice	"a small cube with 1 to 6 spots on the six faces; used in gambling to generate random numbers"																																																		1			
dip	tasty mixture or liquid into which bite-sized foods are dipped										1																																											
dirt bike	"a lightweight motorcycle equipped with rugged tires and suspension; an off-road motorcycle designed for riding cross country or over unpaved ground"																										1																											
dish	a piece of dishware normally used as a container for holding or serving food																																																					
dishrag	a cloth for washing dishes																																																					
dishwasher	a machine for washing dishes									1						1																										1												
dishwashing liquid	a low-sudsing detergent designed for use in dishwashers																																																					
diskette	"a small plastic magnetic disk enclosed in a stiff envelope with a radial slit; used to store data or programs for a microcomputer"																																																					
diving board	a springboard from which swimmers can dive																																																					
dog	"a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds"	1																													1																							
dogfood	food prepared for dogs																																																					
doghouse	outbuilding that serves as a shelter for a dog						1																																															
doily	a small round piece of linen placed under a dish or bowl													1																																								
doll	"a small replica of a person; used as a toy"																								1																													
dollhouse	a small model of a house used as a toy by children																								1																													
dolly	conveyance consisting of a wheeled platform for moving heavy objects																																																					
dolphin	"any of various small toothed whales with a beaklike snout; larger than porpoises"	1																													1	1																						
domino	"a small rectangular block used in playing the game of dominoes; the face of each block has two equal areas that can bear 0 to 6 dots"																																																		1			
donkey	"domestic beast of burden descended from the African wild ass; patient but stubborn"	1																													1																					1		
donut	a small ring-shaped friedcake							1			1																																	1										
door	a swinging or sliding barrier that will close the entrance to a room or building or vehicle																																																					
doorbell	a push button at an outer door that gives a ringing or buzzing signal when pushed																																																					
doorhandle	a lever used to release the catch when opening a door																													1																								
doorknob	a knob used to release the catch when opening a door (often called `doorhandle' in Great Britain)																													1																								
doorknocker	a device (usually metal and ornamental) attached by a hinge to a door													1																1																								
doormat	a mat placed outside an exterior door for wiping the shoes before entering																																																					
doorstop	a stop that keeps open doors from moving																																																					
dough	a flour mixture stiff enough to knead or roll										1																																											
dragonfly	"slender-bodied non-stinging insect having iridescent wings that are outspread at rest; adults and nymphs feed on mosquitoes etc."	1													1																																							
drain	a pipe through which liquid is carried away																																																					
drawer	"a boxlike container in a piece of furniture; made so as to slide in and out"						1																																															
dreidel	a small four-sided spinning top with a Hebrew letter on each side, used by Jews																								1																													
dress	"a one-piece garment for a woman; has skirt and bodice"				1																																																	1
dresser	furniture with drawers for keeping clothes						1						1																																									
drill	a tool with a sharp point and cutting edges for making holes in hard materials (usually rotating rapidly or by repeated blows)									1														1						1																				1				
drink	a single serving of a beverage								1																																													
drum	"a musical percussion instrument; usually consists of a hollow cylinder with a membrane stretched across each end"																		1																																			
drumstick	a stick used for playing a drum																																																					
dryer	an appliance that removes moisture									1																																1												
duck	small wild or domesticated web-footed broad-billed swimming bird usually having a depressed body and short legs	1	1																																																	1		
duckling	young duck	1	1																																																			
duct	an enclosed conduit for a fluid																													1																								
duct tape	a wide silvery adhesive tape intended to seal joints in sheet metal duct work but having many other uses																																																					
duffel bag	"a large cylindrical bag of heavy cloth; for carrying personal belongings"						1																																															
dumbbell	"an exercising weight; two spheres connected by a short bar that serves as a handle"																						1																															
dumbwaiter	a small elevator used to convey food (or other goods) from one floor of a building to another																																																					
dumpling	small balls or strips of boiled or steamed dough										1																																											
dumpster	a container designed to receive and transport and dump waste						1																																															
duster	a piece of cloth used for dusting																							1																														
dustpan	a short-handled receptacle into which dust can be swept						1																	1																														
dynamite	an explosive containing nitrate sensitized with nitroglycerin absorbed on wood pulp																											1																										
eagle	any of various large keen-sighted diurnal birds of prey noted for their broad wings and strong soaring flight	1	1																																																			
ear	the sense organ for hearing and equilibrium			1																																																		
earplug	a plug of cotton, wax, or rubber that is fitted into the ear canal for protection against the entry of water or loud noise																																													1								
earring	"jewelry to ornament the ear; usually clipped to the earlobe or fastened through a hole in the lobe"					1																												1																				
earwig	any of numerous insects of the order Dermaptera having elongate bodies and slender many-jointed antennae and a pair of large pincers at the rear of the abdomen	1													1																																							
easel	an upright tripod for displaying something (usually an artist's canvas)																																								1													
easter egg	a colored hard-boiled egg used to celebrate Easter										1																																											
eclair	oblong cream puff							1			1																																											
eel	voracious snakelike marine or freshwater fishes with smooth slimy usually scaleless skin and having a continuous vertical fin but no ventral fins	1									1																					1											1											
egg	oval reproductive body of a fowl (especially a hen) used as food										1																																	1										
egg roll	minced vegetables and meat wrapped in a pancake and fried										1																																											
eggbeater	a mixer for beating eggs or whipping cream																1							1																														
eggnog	a punch made of sweetened milk or cream mixed with eggs and usually alcoholic liquor								1																																													
eggplant	egg-shaped vegetable having a shiny skin typically dark purple but occasionally white or yellow										1															1																												
eggshell	the exterior covering of a bird's egg																																																					
elbow	hinge joint between the forearm and upper arm and the corresponding joint in the forelimb of a quadruped			1																																																		
electric chair	"an instrument of execution by electrocution; resembles an ordinary seat for one person"									1																																												
elephant	five-toed pachyderm	1																													1																							
emerald	"a green transparent form of beryl; highly valued as a gemstone"																																																					
enchilada	tortilla with meat filling baked in tomato sauce seasoned with chili										1																																											
engine	motor that converts thermal energy to mechanical work																				1																																	
envelope	a flat (usually rectangular) container for a letter, thin package, etc.																			1																																		
eraser	an implement used to erase something																			1																					1						1							
espresso	strong black coffee brewed by forcing hot water under pressure through finely ground coffee beans								1																																													
exerciser	sports equipment used in gymnastic exercises																						1																															
exhaust pipe	a pipe through which burned gases travel from the exhaust manifold to the muffler																				1																																	
extinguisher	a manually operated device for extinguishing small fires																																													1								
eye	the organ of sight			1																																																		
eye patch	a protective cloth covering for an injured eye				1	1												1																																				
eyedropper	pipet consisting of a small tube with a vacuum bulb at one end for drawing liquid in and releasing it a drop at a time																	1																																				
eyeliner	makeup applied to emphasize the shape of the eyes																																						1															
eyepiece	combination of lenses at the viewing end of optical instruments																																																					
face	the front of the human head from the forehead to the chin and ear to ear			1																																																		
face mask	mask that provides a protective covering for the face in such sports as baseball or football or hockey																						1																							1			1					
fan	a device for creating a current of air by movement of a surface or surfaces									1																																1												
fast food	inexpensive food (hamburgers or chicken or milkshakes) prepared and served quickly										1																																											
faucet	a regulator for controlling the flow of a liquid from a reservoir																													1																								
feather	the light horny waterproof structure forming the external covering of birds																																																					
fence	a barrier that serves to enclose an area																																																					
fencepost	a wooden or metal post set in the ground as a supporting part of a fence																																																					
fern	"any of numerous flowerless and seedless vascular plants having true roots from a rhizome and fronds that uncurl upward; reproduce by spores"																					1																																
ferret	domesticated albino variety of the European polecat bred for hunting rats and rabbits	1																													1																							
ferris wheel	"a vertical rotating mechanism consisting of a large wheel with suspended seats that remain upright as the wheel rotates; provides a ride at an amusement park"																																																					
ferry	a boat that transports people or vehicles across a body of water and operates on a regular schedule																										1								1																			
fig	fleshy sweet pear-shaped yellowish or purple multiple fruit eaten fresh or preserved or dried										1	1																																										
figurine	a small carved or molded figure													1																																								
file	"a steel hand tool with small sharp teeth on some or all of its surfaces; used for smoothing wood or metal"																							1						1																								
file	a folder or box for holding loose papers that are typically arranged in a particular order for easy reference																			1																																		
filing cabinet	office furniture consisting of a container for keeping papers in order						1						1																																									
film	"photographic material consisting of a base of celluloid covered with a photographic emulsion; used to make negatives or transparencies"																																																					
filter	device that removes something from whatever passes through it																																							1														
finger	any of the terminal members of the hand (sometimes excepting the thumb)			1																																																		
fingerprint	"a print made by an impression of the ridges in the skin of a finger; often used for biometric identification in criminal investigations"																																																					
fire	a fireplace in which a relatively small fire is burning																																																					
fire alarm	a device that makes a loud sound to warn people when there is a fire																																													1								
fire hydrant	an upright hydrant for drawing water to use in fighting a fire																																																					
fire pit	dug into the ground or a freestanding metal vessel, in which a contained outdoor fire is made																																																					
firecracker	firework consisting of a small explosive charge and fuse in a heavy paper casing																																																					
fireplace	an open recess in a wall at the base of a chimney where a fire can be built																																																					
firetruck	any of various large trucks that carry firemen and equipment to the site of a fire																										1																											
firewood	wood used for fuel																																																					
fireworks	"(usually plural) a device with an explosive that burns at a low rate and with colored flames; can be used to illuminate areas or send signals etc."																																																					
first-aid kit	kit consisting of a set of bandages and medicines for giving first aid																	1																																				
fish	any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills	1									1																					1											1											
fishbowl	a transparent bowl in which small fish are kept						1																																															
fishhook	a sharp barbed hook for catching fish																																																					
fishing pole	a rod of wood or steel or fiberglass that is used in fishing to extend the fishing line																																																					
fishnet stockings	hosiery with an open, diamond-shaped knit				1																																																	1
flag	emblem usually consisting of a rectangular piece of cloth of distinctive design																																																					
flagpole	a tall staff or pole on which a flag is raised																																																					
flamethrower	a weapon that squirts ignited fuel for several yards																											1																										
flamingo	"large pink to scarlet web-footed wading bird with down-bent bill; inhabits brackish lakes"	1	1																																																			
flan	open pastry filled with fruit or custard							1			1																																											
flashbulb	a lamp for providing momentary light to take a photograph																																					1																
flashlight	a small portable battery-powered electric lamp																																					1																
flask	bottle that has a narrow neck						1																																															
flatiron	a heated device for straightening and styling hair																																						1			1												
flip-flop	a backless sandal held to the foot by a thong between the big toe and the second toe				1																																								1									
flipper	"a shoe for swimming; the paddle-like front is an aid in swimming (especially underwater)"																						1																						1									
float	something that floats on the surface of water																																																					
floss	a soft thread for cleaning the spaces between the teeth																																						1															
flour	fine powdery foodstuff obtained by grinding and sifting the meal of a cereal grain										1																																											
flower	a plant cultivated for its blooms or blossoms																					1																																
flute	"a high-pitched woodwind instrument; a slender tube closed at one end with finger holes on one end and an opening near the closed end across which the breath is blown"																		1																																			
fly	two-winged insects characterized by active flight	1													1																																							
flypaper	paper that is poisoned or coated with a sticky substance to kill flies																																																					
flyswatter	"an implement with a flat part (of mesh or plastic) and a long handle; used to kill insects"																							1																														
foam	"a lightweight material in cellular form; made by introducing gas bubbles during manufacture"																																																					
folder	covering that is folded over to protect the contents																			1																											1							
fondue	hot cheese or chocolate melted to the consistency of a sauce into which bread or fruits are dipped										1																																											
food processor	"a kitchen appliance with interchangeable blades; used for shredding or blending or chopping or slicing food"									1						1																										1												
foot	the part of the leg of a human being below the ankle joint			1																																																		
football	the inflated oblong ball used in playing American football																						1																															
football helmet	a padded helmet with a face mask to protect the head of football players																						1																							1		1	1					
footbath	a small bathtub for warming or washing or disinfecting the feet						1																																															
footprint	a mark of a foot or shoe on a surface																																																					
footrest	a support for the feet of a seated person, often to support feet that do not reach the floor when seated, or to elevate feet for greater comfort												1																																									
fork	cutlery used for serving and eating food																							1																														
forklift	a small industrial vehicle with a power operated forked platform in front that can be inserted under loads to lift and move them																										1																											
fossil	the remains (or an impression) of a plant or animal that existed in a past geological age and that has been excavated from the soil																																																					
fountain pen	a pen that is supplied with ink from a reservoir in its barrel																			1				1																	1						1							
fox	"alert carnivorous mammal with pointed muzzle and ears and a bushy tail; most are predators that do not hunt in packs"	1																													1																							
frame	a framework that supports and protects a picture or a mirror													1																																								
freezer	electric refrigerator (trade name Deepfreeze) in which food is frozen and stored for long periods of time									1						1																										1												
french fries	strips of potato fried in deep fat										1																																	1										
french horn	a brass musical instrument consisting of a conical tube that is coiled into a spiral and played by means of valves																		1																																			
frisbee	"a light, plastic disk about 10 inches in diameter; propelled with a flip of the wrist for recreation or competition"																						1		1																													
frog	"any of various tailless stout-bodied amphibians with long hind limbs for leaping; semiaquatic and terrestrial species"	1																																																				
fruit	the ripened reproductive body of a seed plant										1	1																																										
fruitcake	a rich cake containing dried fruit and nuts and citrus peel and so on							1			1																																											
fudge	soft creamy candy							1			1																		1																									
fungus	"an organism of the kingdom Fungi lacking chlorophyll and feeding on organic matter; ranging from unicellular or multicellular organisms to spore-bearing syncytia"																																																					
funnel	"a conically shaped utensil having a narrow tube at the small end; used to channel the flow of substances into a container with a small mouth"																1							1																1														
fur coat	a coat made of fur				1																																																1	
furnace	an enclosed chamber in which heat is produced to heat buildings, destroy refuse, smelt or refine ores, etc.																																																					
fuse	an electrical device that can interrupt the flow of electrical current when it is overloaded																																																					
gallows	an instrument of execution consisting of a wooden frame from which a condemned person is executed by hanging																																																					
game	a contest with rules to determine a winner																																																		1			
garbage	a receptacle where waste can be discarded																																																					
garbage truck	a truck for collecting domestic refuse																										1																											
gargoyle	an ornament consisting of a grotesquely carved figure of a person or animal																																																					
garlic	aromatic bulb used as seasoning										1															1																												
garter	a band (usually elastic) worn around the leg to hold up a stocking (or around the arm to hold up a sleeve)				1																																																	1
gas mask	"a protective mask with a filter; protects the face and lungs against poisonous gases"																																													1								
gasket	seal consisting of a ring for packing pistons or sealing a pipe joint																				1												1																					
gate	a movable barrier in a fence or wall																																																					
gauge	a measuring instrument for measuring and indicating a quantity such as the thickness of wire or the amount of rain etc.																																							1														
gauze	(medicine) bleached cotton cloth of plain weave used for bandages and dressings																	1																																				
gavel	a small mallet used by a presiding officer or a judge																							1																														
gazelle	small swift graceful antelope of Africa and Asia having lustrous eyes	1																													1																							
gear	a toothed wheel that engages another toothed mechanism in order to change the speed or direction of transmitted motion																													1																								
gearshift	a mechanical device for engaging and disengaging gears																				1																																	
gel	a colloid in a more solid form than a sol																																																					
gem	a crystalline rock that can be cut and polished for jewelry																																																					
generator	engine that converts mechanical energy into electrical energy by electromagnetic induction									1																																												
gift	something acquired without compensation																																																					
ginger	"pungent rhizome of the common ginger plant; used fresh as a seasoning especially in Asian cookery"										1																									1																		
gingerbread man	gingerbread cut in the shape of a person										1																																											
giraffe	"tallest living quadruped; having a spotted coat and small horns and very long neck and legs; of savannahs of tropical Africa"	1																													1																							
girl	a youthful female person																																																					
glass	a container for holding liquids while drinking						1																																															
glasses	optical instrument consisting of a frame that holds a pair of lenses for correcting defective vision					1																																																
globe	a sphere on which a map (especially of the earth) is represented													1																																								
glove	handwear: covers the hand and wrist				1	1																																											1				1	
glue	cement consisting of a sticky substance that is used as an adhesive																			1																					1						1							
go-kart	"a small low motor vehicle with four wheels and an open framework; used for racing"																										1																											
goalpost	one of a pair of posts (usually joined by a crossbar) that are set up as a goal at each end of a playing field																																																					
goat	any of numerous agile ruminants related to sheep but having a beard and straight horns	1									1																				1																					1		
goblet	a drinking glass with a base and stem						1																																															
goggles	tight-fitting spectacles worn to protect the eyes																						1																															
gold	"a soft yellow malleable ductile (trivalent and univalent) metallic element; occurs mainly as nuggets in rocks and alluvial deposits; does not react with most chemicals but is attacked by chlorine and aqua regia"																																																					
goldfish	small golden or orange-red freshwater fishes of Eurasia used as pond or aquarium fishes	1																																																				
golf cart	a small motor vehicle in which golfers can ride between shots																										1																											
golf club	golf equipment used by a golfer to hit a golf ball																						1																															
gondola	"long narrow flat-bottomed boat propelled by sculling; traditionally used on canals of Venice"																										1								1																			
gong	a percussion instrument consisting of a metal plate that is struck with a softheaded drumstick																		1																																			
goose	web-footed long-necked typically gregarious migratory aquatic birds usually larger and less aquatic than ducks	1	1								1																																									1		
gopher	"burrowing rodent of the family Geomyidae having large external cheek pouches; of Central America and southwestern North America"	1																													1																							
gorilla	"largest anthropoid ape; terrestrial and vegetarian; of forests of central west Africa"	1																													1																							
gourd	any of numerous inedible fruits with hard rinds													1												1																												
graffiti	a rude decoration inscribed on rocks or walls																																																					
grain	dry seed-like fruit produced by the cereal grasses: e.g. wheat, barley, Indian corn										1																																											
gramophone	"an antique record player; the sound of the vibrating needle is amplified acoustically"																																																					
granite	"plutonic igneous rock having visibly crystalline texture; generally composed of feldspar and mica and quartz"																																																					
granola	cereal made of especially rolled oats with dried fruits and nuts and honey or brown sugar										1																																	1										
grape	"any of various juicy fruit of the genus Vitis with green or purple skins; grow in clusters"										1	1																																										
grapefruit	"large yellow fruit with somewhat acid juicy pulp; usual serving consists of a half"										1	1																																										
