Word	Definition (from WordNet, Google, or Wikipedia)	animal	bird	body part	clothing	clothing accessory	container	dessert	drink	electronic device	food	fruit	furniture	home decor	insect	kitchen appliance	kitchen tool	medical equipment	musical instrument	office supply	part of car	plant	sports equipment	tool	toy	vegetable	vehicle	weapon	candy	hardware	mammal	sea animal	fastener	jewelry	watercraft	condiment	garden tool	lighting	personal hygiene item	scientific equipment	arts and crafts supply	home appliance	seafood	breakfast food	footwear	safety equipment	school supply	headwear	protective clothing	construction equipment	game	farm animal	outerwear	women's clothing
blackberry	large sweet black or very dark purple edible aggregate fruit of any of various bushes of the genus Rubus										1	1																																										
blanket	bedding that keeps a person warm in bed																																																					
blazer	"lightweight single-breasted jacket; often striped in the colors of a club or school"				1																																																1	
blender	an electrically powered mixer with whirling blades that mix or chop or liquefy foods									1						1																										1												
blimp	a small nonrigid airship used for observation or as a barrage balloon																																																					
blind	a protective covering that keeps things out or hinders sight																																																					
blinder	blind consisting of a leather eyepatch sewn to the side of the halter that prevents a horse from seeing something on either side																																																					
blindfold	a cloth used to cover the eyes																																																					
block	a solid piece of something (usually having flat rectangular sides)																																																					
blouse	a top worn by women				1																																																	1
blower	a device that produces a current of air									1														1																		1												
blowfish	"any of numerous marine fishes whose elongated spiny body can inflate itself with water or air to form a globe; several species contain a potent nerve poison; closely related to spiny puffers"	1																														1											1											
blowgun	a tube through which darts can be shot by blowing																											1																										
blowtorch	a burner that mixes air and gas to produce a very hot flame																							1				1		1										1										1				
blueberry	sweet edible dark-blue berries of either low-growing or high-growing blueberry plants										1	1																																										
boa	a long thin fluffy scarf of feathers or fur				1	1																																																1
boar	"Old World wild swine having a narrow body and prominent tusks from which most domestic swine come; introduced in United States"	1																													1																							
board	a thin, flat, rectangular piece of wood or other stiff material used for various purposes																																																					
board game	a game played on a specially designed board																																																		1			
boat	a small vessel for travel on water																										1								1																			
bobsled	a long racing sled (for 2 or more people) with a steering mechanism																						1																															
bok choy	Asiatic plant grown for its cluster of edible white stalks with dark green leaves										1											1				1																												
bolo tie	a cord fastened around the neck with an ornamental clasp and worn as a necktie				1	1																																																
bologna	large smooth-textured smoked sausage of beef and veal and pork										1																																											
bolt	a screw that screws into a nut to form a fastener																													1			1																					
bomb	an explosive device fused to explode under specific conditions																											1																										
bone	rigid connective tissue that makes up the skeleton of vertebrates			1																																																		
bongo	"a small drum; played with the hands"																		1																																			
bonnet	a hat tied under the chin				1	1																																										1						
bonsai	a dwarfed ornamental tree or shrub grown in a tray or shallow pot													1								1																																
book	a written work or composition that has been published (printed on pages bound together)																																														1							
bookmark	a marker (a piece of paper or ribbon) placed between the pages of a book to mark the reader's place																																																					
bookshelf	a shelf on which to keep books												1																																									
boomerang	"a curved piece of wood; when properly thrown will return to thrower"																								1			1																										
boot	footwear that covers the whole foot and lower leg				1																																								1									
bottle	"a glass or plastic vessel used for storing drinks or other liquids; typically cylindrical without handles and with a narrow neck that can be plugged or capped"						1																																															
bottle opener	an opener for removing caps or corks from bottles																1							1																														
boulder	a large smooth mass of rock detached from its place of origin																																																					
